order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,timestamp,source
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:26:13.902926,Database
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-28 18:26:13.902926,Database
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-28 18:26:13.902926,Database
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,2024-04-28 18:26:13.902926,Database
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-28 18:26:13.902926,Database
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-28 18:26:13.902926,Database
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,2024-04-28 18:26:13.902926,Database
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,2024-04-28 18:26:13.902926,Database
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,2024-04-28 18:26:13.902926,Database
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2024-04-28 18:26:13.902926,Database
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2024-04-28 18:26:13.902926,Database
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,2024-04-28 18:26:13.902926,Database
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,2024-04-28 18:26:13.902926,Database
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,2024-04-28 18:26:13.902926,Database
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,2024-04-28 18:26:13.902926,Database
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,2024-04-28 18:26:13.902926,Database
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,2024-04-28 18:26:13.902926,Database
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2024-04-28 18:26:13.902926,Database
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2024-04-28 18:26:13.902926,Database
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,2024-04-28 18:26:13.902926,Database
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,2024-04-28 18:26:13.902926,Database
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,2024-04-28 18:26:13.902926,Database
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,2024-04-28 18:26:13.902926,Database
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,2024-04-28 18:26:13.902926,Database
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,2024-04-28 18:26:13.902926,Database
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,2024-04-28 18:26:13.902926,Database
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,2024-04-28 18:26:13.902926,Database
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,2024-04-28 18:26:13.902926,Database
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,2024-04-28 18:26:13.902926,Database
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,2024-04-28 18:26:13.902926,Database
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,2024-04-28 18:26:13.902926,Database
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,2024-04-28 18:26:13.902926,Database
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,2024-04-28 18:26:13.902926,Database
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,2024-04-28 18:26:13.902926,Database
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,2024-04-28 18:26:13.902926,Database
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,2024-04-28 18:26:13.902926,Database
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,2024-04-28 18:26:13.902926,Database
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,2024-04-28 18:26:13.902926,Database
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,2024-04-28 18:26:13.902926,Database
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,2024-04-28 18:26:13.902926,Database
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,2024-04-28 18:26:13.902926,Database
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,2024-04-28 18:26:13.902926,Database
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,2024-04-28 18:26:13.902926,Database
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,2024-04-28 18:26:13.902926,Database
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,2024-04-28 18:26:13.902926,Database
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,2024-04-28 18:26:13.902926,Database
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,2024-04-28 18:26:13.902926,Database
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,2024-04-28 18:26:13.902926,Database
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,2024-04-28 18:26:13.902926,Database
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,2024-04-28 18:26:13.902926,Database
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,2024-04-28 18:26:13.902926,Database
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,2024-04-28 18:26:13.902926,Database
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,2024-04-28 18:26:13.902926,Database
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,2024-04-28 18:26:13.902926,Database
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,2024-04-28 18:26:13.902926,Database
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,2024-04-28 18:26:13.902926,Database
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,2024-04-28 18:26:13.902926,Database
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,2024-04-28 18:26:13.902926,Database
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,2024-04-28 18:26:13.902926,Database
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,2024-04-28 18:26:13.902926,Database
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,2024-04-28 18:26:13.902926,Database
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,2024-04-28 18:26:13.902926,Database
70,50,3,2016-02-11,2016-02-11,,3,9,2024-04-28 18:26:13.902926,Database
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,2024-04-28 18:26:13.902926,Database
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,2024-04-28 18:26:13.902926,Database
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,2024-04-28 18:26:13.902926,Database
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,2024-04-28 18:26:13.902926,Database
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,2024-04-28 18:26:13.902926,Database
76,9,3,2016-02-16,2016-02-16,,2,6,2024-04-28 18:26:13.902926,Database
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,2024-04-28 18:26:13.902926,Database
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,2024-04-28 18:26:13.902926,Database
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,2024-04-28 18:26:13.902926,Database
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,2024-04-28 18:26:13.902926,Database
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,2024-04-28 18:26:13.902926,Database
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6,2024-04-28 18:26:13.902926,Database
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,2024-04-28 18:26:13.902926,Database
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7,2024-04-28 18:26:13.902926,Database
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7,2024-04-28 18:26:13.902926,Database
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7,2024-04-28 18:26:13.902926,Database
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,2024-04-28 18:26:13.902926,Database
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6,2024-04-28 18:26:13.902926,Database
89,668,4,2016-02-21,2016-02-24,2016-02-24,3,8,2024-04-28 18:26:13.902926,Database
90,414,4,2016-02-23,2016-02-25,2016-02-24,2,7,2024-04-28 18:26:13.902926,Database
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2,2024-04-28 18:26:13.902926,Database
92,1309,4,2016-02-25,2016-02-28,2016-02-28,2,7,2024-04-28 18:26:13.902926,Database
93,1328,4,2016-02-26,2016-02-28,2016-02-27,1,3,2024-04-28 18:26:13.902926,Database
94,929,4,2016-02-27,2016-02-28,2016-02-29,1,2,2024-04-28 18:26:13.902926,Database
95,218,4,2016-02-27,2016-02-29,2016-02-28,2,7,2024-04-28 18:26:13.902926,Database
96,1094,4,2016-02-27,2016-02-29,2016-02-28,2,7,2024-04-28 18:26:13.902926,Database
97,204,4,2016-02-28,2016-02-29,2016-03-01,2,7,2024-04-28 18:26:13.902926,Database
98,1194,4,2016-02-28,2016-02-29,2016-02-29,2,6,2024-04-28 18:26:13.902926,Database
99,1165,4,2016-02-29,2016-03-01,2016-03-03,3,9,2024-04-28 18:26:13.902926,Database
100,1237,4,2016-03-01,2016-03-04,2016-03-03,2,7,2024-04-28 18:26:13.902926,Database
101,271,4,2016-03-01,2016-03-04,2016-03-04,3,8,2024-04-28 18:26:13.902926,Database
102,336,4,2016-03-02,2016-03-05,2016-03-03,2,7,2024-04-28 18:26:13.902926,Database
103,991,4,2016-03-03,2016-03-06,2016-03-05,1,2,2024-04-28 18:26:13.902926,Database
104,7,4,2016-03-03,2016-03-05,2016-03-05,2,7,2024-04-28 18:26:13.902926,Database
105,306,4,2016-03-03,2016-03-05,2016-03-04,2,7,2024-04-28 18:26:13.902926,Database
106,422,4,2016-03-04,2016-03-05,2016-03-05,3,9,2024-04-28 18:26:13.902926,Database
107,633,4,2016-03-06,2016-03-09,2016-03-09,1,2,2024-04-28 18:26:13.902926,Database
108,12,4,2016-03-06,2016-03-09,2016-03-07,2,6,2024-04-28 18:26:13.902926,Database
109,1255,4,2016-03-06,2016-03-09,2016-03-09,2,6,2024-04-28 18:26:13.902926,Database
110,677,4,2016-03-06,2016-03-08,2016-03-09,3,9,2024-04-28 18:26:13.902926,Database
111,630,4,2016-03-07,2016-03-10,2016-03-10,2,6,2024-04-28 18:26:13.902926,Database
112,469,4,2016-03-08,2016-03-11,2016-03-10,2,6,2024-04-28 18:26:13.902926,Database
113,1078,4,2016-03-08,2016-03-11,2016-03-11,2,6,2024-04-28 18:26:13.902926,Database
114,1431,4,2016-03-08,2016-03-10,2016-03-11,2,7,2024-04-28 18:26:13.902926,Database
115,1369,4,2016-03-09,2016-03-11,2016-03-11,2,7,2024-04-28 18:26:13.902926,Database
116,471,4,2016-03-10,2016-03-11,2016-03-11,2,7,2024-04-28 18:26:13.902926,Database
117,740,4,2016-03-10,2016-03-13,2016-03-11,2,6,2024-04-28 18:26:13.902926,Database
118,577,4,2016-03-12,2016-03-14,2016-03-13,1,2,2024-04-28 18:26:13.902926,Database
119,925,4,2016-03-12,2016-03-14,2016-03-14,2,7,2024-04-28 18:26:13.902926,Database
120,327,4,2016-03-14,2016-03-15,2016-03-17,2,7,2024-04-28 18:26:13.902926,Database
121,755,4,2016-03-14,2016-03-15,2016-03-16,2,6,2024-04-28 18:26:13.902926,Database
122,786,4,2016-03-14,2016-03-16,2016-03-15,2,6,2024-04-28 18:26:13.902926,Database
123,766,4,2016-03-15,2016-03-18,2016-03-17,2,6,2024-04-28 18:26:13.902926,Database
124,403,4,2016-03-16,2016-03-18,2016-03-17,1,3,2024-04-28 18:26:13.902926,Database
125,685,4,2016-03-16,2016-03-19,2016-03-17,2,6,2024-04-28 18:26:13.902926,Database
126,1365,4,2016-03-16,2016-03-18,2016-03-18,2,7,2024-04-28 18:26:13.902926,Database
127,484,4,2016-03-17,2016-03-18,2016-03-19,3,8,2024-04-28 18:26:13.902926,Database
128,86,4,2016-03-18,2016-03-20,2016-03-21,2,6,2024-04-28 18:26:13.902926,Database
129,84,4,2016-03-19,2016-03-21,2016-03-21,2,7,2024-04-28 18:26:13.902926,Database
130,1049,4,2016-03-19,2016-03-22,2016-03-20,2,6,2024-04-28 18:26:13.902926,Database
131,316,4,2016-03-19,2016-03-22,2016-03-20,3,8,2024-04-28 18:26:13.902926,Database
132,46,4,2016-03-20,2016-03-22,2016-03-23,1,3,2024-04-28 18:26:13.902926,Database
133,409,4,2016-03-20,2016-03-22,2016-03-21,2,7,2024-04-28 18:26:13.902926,Database
134,679,4,2016-03-20,2016-03-21,2016-03-21,2,7,2024-04-28 18:26:13.902926,Database
135,1354,4,2016-03-21,2016-03-23,2016-03-23,2,7,2024-04-28 18:26:13.902926,Database
136,1192,4,2016-03-21,2016-03-24,2016-03-23,3,8,2024-04-28 18:26:13.902926,Database
137,370,4,2016-03-23,2016-03-26,2016-03-25,2,7,2024-04-28 18:26:13.902926,Database
138,438,4,2016-03-23,2016-03-24,2016-03-25,2,7,2024-04-28 18:26:13.902926,Database
139,710,4,2016-03-23,2016-03-24,2016-03-26,2,7,2024-04-28 18:26:13.902926,Database
140,1264,4,2016-03-23,2016-03-26,2016-03-26,2,7,2024-04-28 18:26:13.902926,Database
141,557,4,2016-03-25,2016-03-27,2016-03-26,2,7,2024-04-28 18:26:13.902926,Database
142,170,4,2016-03-26,2016-03-27,2016-03-27,1,3,2024-04-28 18:26:13.902926,Database
143,693,4,2016-03-26,2016-03-28,2016-03-28,2,7,2024-04-28 18:26:13.902926,Database
144,1124,4,2016-03-26,2016-03-29,2016-03-29,2,7,2024-04-28 18:26:13.902926,Database
145,366,4,2016-03-27,2016-03-29,2016-03-30,2,6,2024-04-28 18:26:13.902926,Database
146,288,4,2016-03-28,2016-03-30,2016-03-30,1,3,2024-04-28 18:26:13.902926,Database
147,55,4,2016-03-28,2016-03-31,2016-03-31,2,7,2024-04-28 18:26:13.902926,Database
148,714,4,2016-03-28,2016-03-30,2016-03-30,2,6,2024-04-28 18:26:13.902926,Database
149,763,4,2016-03-28,2016-03-30,2016-03-29,2,6,2024-04-28 18:26:13.902926,Database
150,332,4,2016-03-29,2016-03-31,2016-04-01,1,2,2024-04-28 18:26:13.902926,Database
151,926,4,2016-03-29,2016-04-01,2016-03-31,1,2,2024-04-28 18:26:13.902926,Database
152,76,4,2016-03-29,2016-03-30,2016-03-30,2,6,2024-04-28 18:26:13.902926,Database
153,498,4,2016-03-30,2016-04-02,2016-04-01,2,6,2024-04-28 18:26:13.902926,Database
154,1286,4,2016-03-31,2016-04-01,2016-04-01,1,2,2024-04-28 18:26:13.902926,Database
155,371,4,2016-04-02,2016-04-03,2016-04-04,2,6,2024-04-28 18:26:13.902926,Database
156,357,4,2016-04-03,2016-04-06,2016-04-05,1,3,2024-04-28 18:26:13.902926,Database
157,43,4,2016-04-03,2016-04-06,2016-04-06,3,8,2024-04-28 18:26:13.902926,Database
158,117,3,2016-04-04,2016-04-04,,3,9,2024-04-28 18:26:13.902926,Database
159,32,4,2016-04-04,2016-04-06,2016-04-06,1,2,2024-04-28 18:26:13.902926,Database
160,205,4,2016-04-04,2016-04-06,2016-04-06,2,7,2024-04-28 18:26:13.902926,Database
161,251,4,2016-04-04,2016-04-07,2016-04-05,2,7,2024-04-28 18:26:13.902926,Database
162,31,4,2016-04-06,2016-04-08,2016-04-07,1,3,2024-04-28 18:26:13.902926,Database
163,1325,4,2016-04-06,2016-04-07,2016-04-07,2,7,2024-04-28 18:26:13.902926,Database
164,610,4,2016-04-07,2016-04-08,2016-04-09,2,7,2024-04-28 18:26:13.902926,Database
165,574,4,2016-04-08,2016-04-10,2016-04-10,1,3,2024-04-28 18:26:13.902926,Database
166,338,4,2016-04-08,2016-04-11,2016-04-11,2,6,2024-04-28 18:26:13.902926,Database
167,1034,4,2016-04-08,2016-04-09,2016-04-11,2,7,2024-04-28 18:26:13.902926,Database
168,1147,4,2016-04-09,2016-04-12,2016-04-11,1,3,2024-04-28 18:26:13.902926,Database
169,99,4,2016-04-10,2016-04-11,2016-04-11,2,7,2024-04-28 18:26:13.902926,Database
170,1200,4,2016-04-10,2016-04-11,2016-04-13,2,7,2024-04-28 18:26:13.902926,Database
171,237,4,2016-04-11,2016-04-14,2016-04-14,1,3,2024-04-28 18:26:13.902926,Database
172,1079,4,2016-04-11,2016-04-12,2016-04-14,2,7,2024-04-28 18:26:13.902926,Database
173,117,4,2016-04-11,2016-04-14,2016-04-13,3,8,2024-04-28 18:26:13.902926,Database
174,1361,4,2016-04-12,2016-04-13,2016-04-15,2,7,2024-04-28 18:26:13.902926,Database
175,951,4,2016-04-13,2016-04-14,2016-04-14,2,6,2024-04-28 18:26:13.902926,Database
176,643,4,2016-04-15,2016-04-16,2016-04-17,2,7,2024-04-28 18:26:13.902926,Database
177,121,4,2016-04-16,2016-04-19,2016-04-19,1,2,2024-04-28 18:26:13.902926,Database
178,756,4,2016-04-16,2016-04-17,2016-04-18,2,6,2024-04-28 18:26:13.902926,Database
179,616,4,2016-04-17,2016-04-19,2016-04-19,2,6,2024-04-28 18:26:13.902926,Database
180,918,4,2016-04-17,2016-04-20,2016-04-19,2,7,2024-04-28 18:26:13.902926,Database
181,459,4,2016-04-18,2016-04-20,2016-04-20,1,3,2024-04-28 18:26:13.902926,Database
182,854,4,2016-04-18,2016-04-19,2016-04-20,2,6,2024-04-28 18:26:13.902926,Database
183,22,4,2016-04-19,2016-04-20,2016-04-20,2,7,2024-04-28 18:26:13.902926,Database
184,134,4,2016-04-19,2016-04-21,2016-04-22,2,7,2024-04-28 18:26:13.902926,Database
185,24,3,2016-04-20,2016-04-20,,1,2,2024-04-28 18:26:13.902926,Database
186,1127,4,2016-04-21,2016-04-22,2016-04-24,2,6,2024-04-28 18:26:13.902926,Database
187,183,4,2016-04-22,2016-04-23,2016-04-24,2,6,2024-04-28 18:26:13.902926,Database
188,390,4,2016-04-22,2016-04-23,2016-04-25,2,6,2024-04-28 18:26:13.902926,Database
189,1288,4,2016-04-23,2016-04-24,2016-04-26,1,2,2024-04-28 18:26:13.902926,Database
190,98,4,2016-04-23,2016-04-25,2016-04-25,2,6,2024-04-28 18:26:13.902926,Database
191,919,4,2016-04-27,2016-04-28,2016-04-28,1,2,2024-04-28 18:26:13.902926,Database
192,728,4,2016-04-27,2016-04-28,2016-04-29,2,7,2024-04-28 18:26:13.902926,Database
193,1366,4,2016-04-28,2016-04-30,2016-04-30,1,3,2024-04-28 18:26:13.902926,Database
194,558,4,2016-04-28,2016-04-30,2016-05-01,2,7,2024-04-28 18:26:13.902926,Database
195,727,4,2016-04-28,2016-05-01,2016-05-01,2,7,2024-04-28 18:26:13.902926,Database
196,1247,4,2016-04-28,2016-04-30,2016-05-01,2,6,2024-04-28 18:26:13.902926,Database
197,127,4,2016-04-30,2016-05-03,2016-05-03,2,7,2024-04-28 18:26:13.902926,Database
198,640,4,2016-05-01,2016-05-04,2016-05-03,2,6,2024-04-28 18:26:13.902926,Database
199,760,4,2016-05-01,2016-05-04,2016-05-04,2,7,2024-04-28 18:26:13.902926,Database
200,1074,4,2016-05-01,2016-05-03,2016-05-03,2,6,2024-04-28 18:26:13.902926,Database
201,280,4,2016-05-01,2016-05-04,2016-05-02,3,9,2024-04-28 18:26:13.902926,Database
202,600,4,2016-05-03,2016-05-05,2016-05-04,1,2,2024-04-28 18:26:13.902926,Database
203,1102,4,2016-05-03,2016-05-05,2016-05-06,3,9,2024-04-28 18:26:13.902926,Database
204,591,4,2016-05-04,2016-05-07,2016-05-06,2,7,2024-04-28 18:26:13.902926,Database
205,635,4,2016-05-04,2016-05-05,2016-05-06,2,6,2024-04-28 18:26:13.902926,Database
206,743,4,2016-05-04,2016-05-06,2016-05-05,3,9,2024-04-28 18:26:13.902926,Database
207,105,4,2016-05-05,2016-05-07,2016-05-07,2,7,2024-04-28 18:26:13.902926,Database
208,815,4,2016-05-06,2016-05-07,2016-05-09,2,7,2024-04-28 18:26:13.902926,Database
209,514,4,2016-05-07,2016-05-08,2016-05-08,2,6,2024-04-28 18:26:13.902926,Database
210,943,4,2016-05-07,2016-05-08,2016-05-09,2,6,2024-04-28 18:26:13.902926,Database
211,1140,4,2016-05-07,2016-05-09,2016-05-08,2,6,2024-04-28 18:26:13.902926,Database
212,1373,4,2016-05-08,2016-05-09,2016-05-11,2,6,2024-04-28 18:26:13.902926,Database
213,788,4,2016-05-08,2016-05-09,2016-05-09,3,8,2024-04-28 18:26:13.902926,Database
214,363,4,2016-05-10,2016-05-12,2016-05-11,2,6,2024-04-28 18:26:13.902926,Database
215,1420,4,2016-05-10,2016-05-13,2016-05-12,2,7,2024-04-28 18:26:13.902926,Database
216,267,4,2016-05-11,2016-05-14,2016-05-13,1,3,2024-04-28 18:26:13.902926,Database
217,716,4,2016-05-11,2016-05-12,2016-05-14,2,7,2024-04-28 18:26:13.902926,Database
218,1179,4,2016-05-12,2016-05-14,2016-05-14,2,7,2024-04-28 18:26:13.902926,Database
219,1338,4,2016-05-12,2016-05-15,2016-05-15,2,6,2024-04-28 18:26:13.902926,Database
220,1358,4,2016-05-12,2016-05-14,2016-05-15,2,6,2024-04-28 18:26:13.902926,Database
221,1218,4,2016-05-13,2016-05-16,2016-05-14,1,2,2024-04-28 18:26:13.902926,Database
222,51,4,2016-05-13,2016-05-16,2016-05-14,2,6,2024-04-28 18:26:13.902926,Database
223,1368,4,2016-05-15,2016-05-16,2016-05-17,2,7,2024-04-28 18:26:13.902926,Database
224,157,4,2016-05-17,2016-05-18,2016-05-19,1,3,2024-04-28 18:26:13.902926,Database
225,307,4,2016-05-17,2016-05-20,2016-05-19,1,3,2024-04-28 18:26:13.902926,Database
